,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
169,USDCHF,1971-02-28,2020-05-31,-0.4315853454605104,36.79452516116388,8.117992575182793,88.53361049620504,0.9223447656611451,19.719329050434123,-0.9999999999999902,15.960194983013103,-18.41522586588686
170,USDHKD,1971-02-28,2020-05-31,inf,,23.4521174118782,548.0018112656751,,inf,0.0,670.801235328443,
171,EURGBP,1971-02-28,2020-05-31,inf,,2.838739324823512,14.194745108253905,,inf,0.0,5.0208737302548645,
172,USDKRW,1971-02-28,2020-05-31,,,21.587082580696926,464.00213515132214,,inf,0.0,681478470.2345686,
173,EURAUD,1971-02-28,2020-05-31,inf,,19.339148364283524,372.0026594955469,,inf,0.0,19.896577905377043,
174,AUDJPY,1971-02-28,2020-05-31,-1.0,2162863396398.3008,14.66601401546874,221.75845247416618,0.2643036667209671,247715523282.88193,-1.0,1308969.1782187484,-1201092036940.561
175,GBPAUD,1971-02-28,2020-05-31,-0.23679903571260474,41.17529186594231,6.3553512655912545,63.207567325983206,1.184780837539118,26.64010042938978,-0.9999999995576367,23.922047595439825,-19.707257777525804
176,AUDCAD,1971-02-28,2020-05-31,inf,,20.80285367300006,431.17322697071813,,inf,0.0,6.291475098435703,
177,AUDCHF,1971-02-28,2020-05-31,-0.4712764424532826,58.27004168277244,9.286479612586689,97.54545028812706,0.659920242863134,23.40234806453298,-0.9999999999999998,10.095632925346239,-30.437759246327705
178,AUDHKD,1971-02-28,2020-05-31,-0.5056237120687109,17312.47057959854,18.542698737722628,388.42710456625883,0.3313997001170273,2703.298930495659,-1.0,453.84748426625595,-9517.247252938376
179,AUDKRW,1971-02-28,2020-05-31,-1.0,3087376124516868.5,12.323145651038988,152.0301774159949,0.2848512171603537,380912918316619.9,-1.0,694881884.0908586,-1709210532671067.2
180,BTCUSD,2014-10-31,2020-05-31,-1.0,3.1053126738134575e+42,8.063183327516152,63.0149253731344,0.42008402520840366,5.7351590843454325e+41,-1.0,122321465729.81036,-1.6841454208486375e+42
181,ETHUSD,2014-10-31,2020-05-31,,,7.349482351539105,52.015910223123974,,inf,0.0,4589043352882.034,
182,XRPUSD,2014-10-31,2020-05-31,1.4508651559864982,1323513.7639990915,8.059487791693202,62.97534200277825,0.42744321336378227,398237.60229276435,-0.9999999999998531,7.828985285602742,-716987.1132364698
