Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
22/07/2014,11.89143181,59.36000061,25.58940315,83.75491333,83.71660614,23.31375694,34.51125717,47.86460495,1003.084473,25.33334541,46.77121353,60.15769958,37.82870102,294.1715393,38.95998001
23/07/2014,11.90393066,59.59999847,25.49316406,85.62362671,83.36405182,23.56685257,34.50231552,47.71475601,1004.311646,25.08059311,45.80157089,60.26777649,37.70296097,296.2521057,39.06595993
24/07/2014,11.86018658,60.18999863,25.09859467,84.33933258,84.21601868,22.75889969,34.92220688,47.93512344,999.0516968,25.15836334,45.75583649,60.18915176,37.55027771,296.512146,39.3194046
25/07/2014,11.8351965,59.36000061,25.81074905,83.88037872,84.07894897,22.50580597,34.94900894,47.67949677,996.7724609,25.07087326,44.89597321,59.7724762,37.79277802,292.2024841,38.85860443
28/07/2014,11.84144115,59.27999878,25.97435188,83.17054749,83.95163727,22.22350693,34.56484222,47.65305328,990.2850952,25.04170799,44.87768173,60.18915176,37.58620071,288.3757629,38.81712341
29/07/2014,11.8039484,59.38000107,25.75300598,84.1180954,84.07894897,22.1553669,34.58271027,47.42386246,981.8690796,24.81812286,44.85938263,59.89825821,37.90054321,289.5274658,38.81712341
30/07/2014,11.71021652,60.27999878,25.47391891,84.93359375,84.95045471,21.98988914,34.90433502,47.13297272,974.5050659,24.79868126,45.46311188,59.7724762,37.95444489,286.8154297,39.19958878
31/07/2014,11.54774857,58.93999863,24.93498993,82.81394958,83.08008575,21.61997986,34.33258057,46.77156448,949.958374,24.079319,44.60324478,58.88409805,37.18205643,279.7192383,38.6374321
1/08/2014,11.49150848,58.70000076,25.2140789,82.63238525,82.18895721,21.55183983,33.82335663,46.62170792,945.2243652,24.04042625,44.75875854,58.74259567,37.09224319,274.0350342,38.54064941
4/08/2014,11.66022778,59.68000031,24.97348404,83.22337341,83.02133179,21.76599693,33.76081467,46.86853027,958.0237427,24.10847664,44.95085144,59.15140533,37.61314774,281.6140747,38.96917725
5/08/2014,11.51650333,59.18000031,25.11784172,83.08139801,82.89402008,21.6297245,33.71613693,46.73630524,938.0357666,24.15708351,44.20990753,58.54605484,37.59518051,273.9606323,38.83094788
6/08/2014,11.47461891,59.22000122,25.68564224,83.14083862,82.84505463,21.6297245,33.90374374,46.9566803,936.6329956,24.17652702,44.45688629,58.52246094,38.0173111,275.2981567,38.98761749
7/08/2014,11.49365997,59.15999985,25.75300598,81.92915344,82.5316925,21.59077644,33.59999084,46.49830627,931.3731079,24.16680717,43.96292496,58.55391693,37.97239304,273.9606323,38.67890167
8/08/2014,11.52538967,59.45999908,25.77225304,83.03188324,83.02133179,22.10669899,33.79654694,46.87733841,946.1010132,24.43899727,44.30137634,58.89983368,38.46636963,282.2827759,39.27791977
11/08/2014,11.86810589,60.02999878,25.95510292,83.59976196,83.64803314,22.1553669,33.90374374,47.18586349,951.3610229,24.57509232,44.75875854,59.26932526,38.98726654,282.3942871,39.51293564
12/08/2014,11.80463886,59.75999832,26.39779472,83.0880127,83.19759369,21.96068192,33.7876091,47.1594162,944.1723633,24.49732208,44.72216797,59.17499542,38.61904144,277.1186523,39.19498444
13/08/2014,11.8744545,60.40000153,26.36892319,84.89396667,84.04955292,22.05802345,34.04669189,47.13297272,946.1010132,24.61397934,45.27101898,60.0319252,38.94237137,277.3044434,38.94615173
14/08/2014,11.95061016,60.70999908,26.10908318,86.23770905,84.24539948,22.42793465,33.96628952,47.36215973,928.5675659,24.79868126,45.42652512,59.99260712,38.79867172,274.1092834,39.33321381
15/08/2014,12.02676964,60.56000137,25.81074905,86.96738434,83.97122955,22.35978889,33.77867126,47.4591217,939.4382935,24.75979424,45.80157089,59.9297142,38.62803268,278.196106,38.99682617
18/08/2014,12.01407623,61.25,25.97435188,87.89182281,84.98966217,22.80757332,34.35043716,47.80290222,944.5230713,25.13892365,46.00281525,60.51934433,39.27467346,279.83078,39.60047913
19/08/2014,12.04580784,61.52000046,25.68564224,88.22859955,85.67510223,23.35269547,34.37724304,47.94393921,951.3610229,25.21669197,46.29554367,60.64512253,39.35550308,282.5428772,40.11196518
20/08/2014,12.10927391,61.41999817,25.6567688,88.10313416,85.42049408,23.45004082,34.31469727,47.99682999,956.4457397,25.1875248,46.55167007,60.92028809,39.21180725,283.1001282,40.40226364
21/08/2014,12.09023666,61.59999847,25.08897209,87.31076813,85.84159088,23.45004082,34.73458862,47.90867996,954.3417969,25.1875248,46.75291443,60.82595062,38.80764389,285.403656,40.31470871
22/08/2014,12.04580784,62.04999924,25.11784172,87.96445465,86.4193573,23.45004082,34.81500626,47.60896683,946.4517212,25.1097641,46.81695175,60.33852386,38.8705101,283.5831299,40.58657074
25/08/2014,12.11562252,62.00999832,24.65590668,90.01145172,86.0080719,23.33322716,34.85966492,47.76764297,955.3937988,25.24585342,46.6431427,60.20487595,38.74478531,288.7472229,40.78470993
